type_designator	creator	description	shape_designator	shape_scale	version
K35R	RexKramer1	Boeing KC-135 Stratotanker CFM Engines	K35E	0.5	2.0
FA20	RexKramer1	13t  	JET_swept	0.35	2.0
K35E	RexKramer1	Boeing KC-135 Stratotanker CFM Engines	K35E	0.5	2.0
MD11	RexKramer1	  	MD11	0.5	2.0
B29	RexKramer1	  	B29	0.5	2.0
PC12	RexKramer1	""	PC12	0.65	2.0
RJ70	RexKramer1		RJ85	0.5	2.0
A20N	RexKramer1	  	A20N	0.5	2.0
A306	RexKramer1	  	A306	0.5	2.0
A21N	RexKramer1		A21N	0.5	2.0
A30B	RexKramer1	""	A306	0.48	2.0
A310	RexKramer1	""	A310	0.5	2.0
A319	RexKramer1		A19N	0.5	2.0
A318	RexKramer1		A318	0.5	2.0
A19N	RexKramer1		A19N	0.5	2.0
A320	RexKramer1		A320	0.5	2.0
A321	RexKramer1		A321	0.5	2.0
A332	RexKramer1	  	A332	0.5	2.0
A333	RexKramer1	  	A333	0.5	2.0
A338	RexKramer1		A338	0.5	2.0
A339	RexKramer1		A339	0.5	2.0
A342	RexKramer1	""	A342	0.5	2.0
A343	RexKramer1	""	A343	0.5	2.0
A345	RexKramer1	""	A345	0.5	2.0
A346	RexKramer1	""	A346	0.5	2.0
A359	RexKramer1	""	A359	0.5	2.0
A35K	RexKramer1	""	A35K	0.5	2.0
B732	RexKramer1	""	Cat_A3	0.4	2.0
B731	RexKramer1	""	Cat_A3	0.37	2.0
AN26	RexKramer1	""	AN26	0.5	2.0
B350	RexKramer1	""	B350	0.65	2.0
B190	RexKramer1	""	B190	0.65	2.0
B38M	RexKramer1	""	B38M	0.5	2.0
B39M	RexKramer1	""	B39M	0.5	2.0
B701	RexKramer1	""	B703	0.47	2.0
B703	RexKramer1	""	B703	0.5	2.0
B733	RexKramer1	""	B733	0.5	2.0
B734	RexKramer1	""	B734	0.5	2.0
B735	RexKramer1	""	B735	0.5	2.0
B737	RexKramer1	""	B737	0.5	2.0
B738	RexKramer1	""	B738	0.5	2.0
B739	RexKramer1	""	B739	0.5	2.0
B744	RexKramer1	  	B744	0.5	2.0
B748	RexKramer1	""	B748	0.5	2.0
B74S	RexKramer1	  	B74S	0.5	2.0
B752	RexKramer1	""	B752	0.5	2.0
B753	RexKramer1	""	B753	0.5	2.0
B762	RexKramer1	""	B762	0.5	2.0
B763	RexKramer1	""	B763	0.5	2.0
B764	RexKramer1	""	B764	0.5	2.0
B772	RexKramer1	""	B772	0.5	2.0
B773	RexKramer1	""	B773	0.5	2.0
B779	RexKramer1	""	B779	0.5	2.0
B77L	RexKramer1	""	B77L	0.5	2.0
B77W	RexKramer1	""	B77W	0.5	2.0
B788	RexKramer1	""	B788	0.5	2.0
B789	RexKramer1	""	B789	0.5	2.0
B78X	RexKramer1	""	B78X	0.5	2.0
BLCF	RexKramer1	  	BLCF	0.5	2.0
BCS1	RexKramer1		BCS1	0.5	2.0
BALL	RexKramer1	Balloon  	BALL	0.35	2.0
SHIP	RexKramer1	Blimp  	BALL	0.5	1.0
BCS3	RexKramer1		BCS3	0.5	2.0
D328	RexKramer1	""	D328	0.65	2.0
C208	RexKramer1	""	C208	0.65	2.0
D228	RexKramer1	""	D228	0.65	2.0
DA42	RexKramer1	""	DA42	0.7	2.0
C162	RexKramer1	""	C172	0.75	2.0
C182	RexKramer1	""	C172	0.75	2.0
C152	RexKramer1	""	C172	0.75	2.0
DC10	RexKramer1	  	DC10	0.5	2.0
DH8A	RexKramer1	""	DH8C	0.5	2.0
DH8B	RexKramer1	""	DH8C	0.5	2.0
