operator_id	operator_callsign	operator_comment	operator_country	operator_country_iso2letter	operator_iata	operator_icao	operator_name
1519			Ecuador 	ec		FAQ	Aerofaq 
429	ALPHAJET 		United States 	us		AJW	Alpha Jet International 
4944	ACOM 		United States 	us		ALC	Southern Jersey Airways
450	AIRLOG 		United States 	us		ALG	Air Logistics 
150	CHICAGO LINCOLN 		United States 	us		ALN	Air Lincoln 
456	ALLEGHENY 		United States 	us		ALO	Allegheny Commuter Airlines 
462	ALYESKA 		United States 	us		ALY	Alyeska Air Service 
466	AMFLIGHT 		United States 	us		AMF	Ameriflight 
176	AIR AM 		United States 	us		AMR	Air Specialties Corporation 
3985	AIR INDIANA 		United States 	us		AND	National Jet Service 
164	AIR NEVADA 		United States 	us		ANV	Air Nevada 
515	AIRPAC 		United States 	us		APC	Airpac Airlines
4319	AIR PARCEL 		United States 	us		APE	Parcel Express 
518	AIRFLIGHT 		United States 	us		APH	Alpha Aviation
526	APPALACHIAN 		United States 	us		APL	Appalachian Flying Service Inc.
527	ALASKA PACIFIC 		United States 	us		APM	Airpac
530	ASPEN BASE 		United States 	us		APQ	Aspen Aviation 
533	PARCEL EXPRESS 		United States 	us		APX	Apex Air Cargo 
537	ALCOA SHUTTLE 		United States 	us		AQO	Aluminum Company Of America 
540	QUANZA 		United States 	us		AQZ	Aerodyne Charter Company 
215			United States 	us		ARC	Air Routing International Corp. 
546	ARROWHEAD 		United States 	us		ARH	Arrowhead Airways 
208	AIREX 		United States 	us		ARX	Air Xpress
566	GOSEY 		United States 	us		ARY	Argosy Airways 
210	AIR RESORTS 		United States 	us		ARZ	Air Resorts 
567	ALASKA 		United States 	us	AS	ASA	Alaska Airlines
3820	AIR SHUTTLE 		United States 	us	YV	ASH	Mesa Airlines 
571	AEROSUN 		United States 	us		ASI	Aerosun International
2621	ACEY 		United States 	us	EV	ASQ	ExpressJet 
575	ALL STAR 		United States 	us		ASR	All Star Airlines
268			United States 	us		ATA	Air Transport Association 
272	AIR TRAVEL 		United States 	us		ATH	Air Travel Corp. 
224	AIR TRANSPORT 		United States 	us	8C	ATN	Air Transport International 
594	ATLAS-AIR 		United States 	us		ATR	Atlas Airlines 
606	AUDI AIR 		United States 	us		AUD	Audi Air
616	AURORA AIR 		United States 	us		AUU	Aurora Aviation
634	AQUILINE 		United States 	us		AVQ	Aviation Services
635	ACTIVE AERO 		United States 	us		AVR	Active Aero Charter
639	AIRVANTAGE 		United States 	us		AVV	Airvantage Incorporated 
654	AIRNAT 		United States 	us		AWB	Airways International
5806	CACTUS 		United States 	us	US	AWE	US Airways 
64			United States 	us		AWF	Aeroforward 
153	WISCONSIN 		United States 	us	ZW	AWI	Air Wisconsin 
665	AIR FREIGHTER 		United States 	us		AXI	Aeron International Airlines
673	ACTION AIR 		United States 	us		AXQ	Action Airlines (Action Air Charter) 
679	ALTUS 		United States 	us		AXS	Altus Airlines 
701	ARIZONA PACIFIC 		United States 	us		AZP	Arizona Pacific Airways 
706	ARIZAIR 		United States 	us		AZY	Arizona Airways
1561	RODEO 		United States 	us	8Q	BAJ	Baker Aviation 
1562	BLACKHAWK 		United States 	us		BAK	Blackhawk Airways 
5388	BIG APPLE 		United States 	us		BAP	Trans International Express Aviation 
4368	BEACHBALL 		United States 	us		BCH	Phillips Air 
4471	BANKCHECK 		United States 	us		BCK	Priority Aviation Company 
3880	BULLDOG 		United States 	us		BDG	Mississippi State University 
3445	SEA BREEZE 		United States 	us		BEZ	Kingfisher Air Services 
1598	BASLER 		United States 	us		BFC	Basler Flight Service 
1618	BIGHORN AIR 		United States 	us		BHR	Bighorn Airways 
1626	BIG ISLE 		United States 	us		BIG	Big Island Air 
1629	BISON-AIR 		United States 	us		BIN	Boise Interagency Fire Center 
1631	BIRD AIR 		United States 	us		BIR	Bird Leasing 
688	BLACKJACK 		United States 	us	EX	BJK	Atlantic Airlines 
1635	SOLUTION 		United States 	us		BJS	Business Jet Solutions 
523	BAY JET 		United States 	us		BJT	ACM Aviation 
1636	BANKAIR 		United States 	us	B4	BKA	Bankair 
1639	BARKEN JET 		United States 	us		BKJ	Barken International 
1807	BOX KAR 		United States 	us		BKR	Civil Air Patrol South Carolina Wing 
1647	BLUE HORIZON 		United States 	us		BLH	Blue Horizon Travel Club 
1652	BALTAIR 		United States 	us		BLT	Baltic Aviation 
1660	BEMIDJI 		United States 	us	CH	BMJ	Bemidji Airlines 
1662	BOWMAN 		United States 	us		BMN	Bowman Aviation 
1554	BUN AIR 		United States 	us		BNA	Bun Air Corporation 
5089	BARNACLE AIR 		United States 	us		BNC	Sundance Air 
1671	BANCSTAR 		United States 	us		BNS	Bancstar - Valley National Corporation 
1677	BOEING 		United States 	us		BOE	Boeing 
1690	BERING AIR 		United States 	us	8E	BRG	Bering Air 
1692	BRANSON 		United States 	us		BRN	Branson Airlines 
3912	MOUNTAIN AIR 		United States 	us		BRR	Mountain Air Service 
1700	BUFF EXPRESS 		United States 	us		BRX	Buffalo Express Airlines 
3836	BISCAYNE 		United States 	us	LL	BSK	Miami Air International 
1710	BIG SKY 		United States 	us	GQ	BSY	Big Sky Airlines 
1714	BALTIA 		United States 	us	BQ	BTL	Baltia Air Lines 
1719	BRISTOW 		United States 	us	L9	BTZ	Bristow U.S. LLC 
1724	BUFFALO AIR 		United States 	us		BVA	Buffalo Airways 
1726	SHOW-ME 		United States 	us		BVN	Baron Aviation Services 
1548	BRIXTEL JET 		United States 	us		BXJ	Brixtel Group 
1736	BERRY 		United States 	us		BYA	Berry Aviation 
4754	BAY FLIGHT 		United States 	us		BYF	San Carlos Flight Center 
1549	BYGONE 		United States 	us		BYG	Bygone Aviation 
2817	BREEZY 		United States 	us		BZY	Fresh Air Aviation 
2015	CHESAPEAKE AIR 		United States 	us		CAB	Chesapeake Air Service 
2146	CONQUEST AIR 		United States 	us		CAC	Conquest Airlines 
1873	AIR CAMAI 		United States 	us	R9	CAM	Camai Air 
2070	CAP 		United States 	us		CAP	Civil Air Patrol 
2046	CHRISTMAN 		United States 	us		CAS	Christman Air System 
3628	CATBIRD 		United States 	us		CBD	Lockheed Martin Aeronautics 
1803	CLUB HOUSE 		United States 	us		CBH	Corporate Eagle Management Services 
2212	CUMBERLAND 		United States 	us		CBL	Cumberland Airways (Nicholson Air Service) 
2013	BLUE MAX 		United States 	us		CBM	Cherokee Express 
1948	CATALINA AIR 		United States 	us		CBT	Catalina Flying Boats 
1901	CAPPY 		United States 	us	PT	CCI	Capital Cargo International Airlines 
2737	CABLE CHECK 		United States 	us		CCK	Flight Trac 
1996	CHAMPION AIR 		United States 	us	MG	CCP	Champion Air 
1902	CAP CITY 		United States 	us		CCQ	Capital City Air Carriers 
2095			United States 	us		CCX	Colt International 
2014	CHERRY 		United States 	us		CCY	Cherry Air 
4836	CAROLINA 		United States 	us		CDL	Sunbird Airlines 
4615	CORP-X 		United States 	us	3C	CEA	RegionsAir 
2042	CHIPOLA 		United States 	us		CEP	Chipola Aviation 
1904	CAPITOL EXPRESS 		United States 	us		CEX	Capitol Air Express 
2508	EMPIRE AIR 		United States 	us	EM	CFS	Empire Airlines 
2143	CONGRESSIONAL 		United States 	us		CGA	Congressional Air 
2005			United States 	us		CGD	Charlotte Air National Guard 
5942	CHARGE 		United States 	us		CGG	Walmart Aviation 
2018	WILD ONION 		United States 	us		CGO	Chicago Air 
5758	COASTGUARD AUXAIR 		United States 	us		CGX	United States Coast Guard Auxiliary 
1972	CHARTER CENTRAL 		United States 	us		CHA	Central Flying Service 
5654	CHECK AIR 		United States 	us		CHE	Top Flight Air Service 
1990	CHALKS 		United States 	us	OP	CHK	Chalk's International Airlines 
2089	COHLMIA 		United States 	us		CHL	Cohlmia Aviation 
1999	CHANNEL 		United States 	us		CHN	Channel Island Aviation 
2048	CHROME AIR 		United States 	us		CHO	Chrome Air Services 
2008	CHAUTAUQUA 		United States 	us	RP	CHQ	Chautauqua Airlines 
2049	CHURCHAIR 		United States 	us		CHU	Church Aircraft 
854	CHARTAIR 		United States 	us		CHV	Air Charter Professionals 
856	AIR ARCTIC 		United States 	us	5F	CIR	Arctic Circle Air Service 
6082	ZANE 		United States 	us		CIT	Zanesville Aviation 
2092	COLGAN 		United States 	us	9L	CJC	Colgan Air 
2178	SEA JET 		United States 	us		CJI	Corporate Jets 
2115	COMMONWEALTH 		United States 	us		CJS	Commonwealth Jet Service 
1839	CALIBER JET 		United States 	us		CJZ	Caliber Jet 
2157	COOK-AIR 		United States 	us		CKA	Cook Inlet Aviation 
1854			United States 	us		CKC	CKC Services 
2175	CHECKMATE 		United States 	us		CKE	Corporate Aviation Services 
857	CIRCLE CITY 		United States 	us		CKL	Aviation Charter Services 
2203	CROWN AIR 		United States 	us		CKR	Crown Air Systems 
3396	CONNIE 		United States 	us	K4	CKS	Kalitta Air 
2091	COLEMILL 		United States 	us		CLE	Colemill Enterprises 
2076	CLARKAIR 		United States 	us		CLK	Clark Aviation 
5655	CLINTON AIRWAYS 		United States 	us		CLR	Trans America 
