regcode_prefix,regcode_flag_utf8code,regcode_name
PH-,U+1F1F3 U+1F1F1 ,Netherlands 
VP-L,U+1F1FB U+1F1EC,British Virgin Islands 
S9-,U+1F1F8 U+1F1F9,São Tomé and Príncipe 
3D-,U+1F1F8 U+1F1FF,Swaziland: see Eswatini 
YK-,U+1F1F8 U+1F1FE,Syria 
VP-A,U+1F1E6 U+1F1EE,Anguilla 
OO-,U+1F1E7 U+1F1EA ,Belgium 
A2-,U+1F1E7 U+1F1FC ,Botswana 
PR-,U+1F1E7 U+1F1F7 ,Brazil 
PS-,U+1F1E7 U+1F1F7 ,Brazil 
G-,U+1F1EC U+1F1E7,United Kingdom 
4U-,U+1F1FA U+1F1F3,United Nations
YV-,U+1F1FB U+1F1EA,Venezuela 
VN-,U+1F1FB U+1F1F3,Vietnam 
PT-,U+1F1E7 U+1F1F7 ,Brazil 
SE-,U+1F1F8 U+1F1EA ,Sweden 
TC-,U+1F1F9 U+1F1F7 ,Turkey 
VP-C,U+1F1F0 U+1F1FE,Cayman Islands 
T2-,U+1F1F9 U+1F1FB ,Tuvalu 
5X-,U+1F1FA U+1F1EC ,Uganda 
UR-,U+1F1FA U+1F1E6 ,Ukraine 
A6-,U+1F1E6 U+1F1EA ,United Arab Emirates 
CX-,U+1F1FA U+1F1FE ,Uruguay 
UK-,U+1F1FA U+1F1FF ,Uzbekistan 
YJ-,U+1F1FB U+1F1FA ,Vanuatu 
7O-,U+1F1FE U+1F1EA ,Yemen 
VQ-H,U+1F1F8 U+1F1ED,Saint Helena/Ascension 
9J-,U+1F1FF U+1F1F2 ,Zambia 
Z-,U+1F1FF U+1F1FC ,Zimbabwe 
CC-,U+1F1E8 U+1F1F1 ,Chile 
HZ-,U+1F1F8 U+1F1E6 ,Saudi Arabia 
6V-,U+1F1F8 U+1F1F3 ,Senegal 
6W-,U+1F1F8 U+1F1F3 ,Senegal 
YU-,U+1F1F7 U+1F1F8 ,Serbia 
S7-,U+1F1F8 U+1F1E8 ,Seychelles 
9L-,U+1F1F8 U+1F1F1 ,Sierra Leone 
9V-,U+1F1F8 U+1F1EC ,Singapore 
OE-,U+1F1E6 U+1F1F9 ,Austria 
4K-,U+1F1E6 U+1F1FF ,Azerbaijan 
C6-,U+1F1E7 U+1F1F8 ,Bahamas 
A9C-,U+1F1E7 U+1F1ED ,Bahrain 
S2-,U+1F1E7 U+1F1E9 ,Bangladesh 
8P-,U+1F1E7 U+1F1E7 ,Barbados 
EW-,U+1F1E7 U+1F1FE ,Belarus 
ZS-,U+1F1FF U+1F1E6 ,South Africa 
ZT-,U+1F1FF U+1F1E6 ,South Africa 
PU-,U+1F1E7 U+1F1F7 ,Brazil 
LZ-,U+1F1E7 U+1F1EC ,Bulgaria 
J3-,U+1F1EC U+1F1E9 ,Grenada 
A4O-,U+1F1F4 U+1F1F2 ,Oman 
EY-,U+1F1F9 U+1F1EF ,Tajikistan 
HS-,U+1F1F9 U+1F1ED ,Thailand 
5V-,U+1F1F9 U+1F1EC ,Togo 
A3-,U+1F1F9 U+1F1F4 ,Tonga 
9Y-,U+1F1F9 U+1F1F9 ,Trinidad and Tobago 
TS-,U+1F1F9 U+1F1F3 ,Tunisia 
EZ-,U+1F1F9 U+1F1F2 ,Turkmenistan 
5H-,U+1F1F9 U+1F1FF,Tanzania 
VP-B,U+1F1E7 U+1F1F2,Bermuda 
VP-F,U+1F1EB U+1F1F0,Falkland Islands 
F-O,U+1F1EC U+1F1EB,French Guiana 
VP-G,U+1F1EC U+1F1EE,Gibraltar 
B-M,U+1F1F2 U+1F1F4,Macau 
F-OM,U+1F1F2 U+1F1F6,Martinique 
RDPL-,U+1F1F1 U+1F1E6,Laos 
VP-M,U+1F1F2 U+1F1F8,Montserrat 
V8-,U+1F1E7 U+1F1F3,Brunei 
9T-,U+1F1E8 U+1F1E9,"Congo, Democratic Republic of "
B-H,U+1F1ED U+1F1F0,Hong Kong 
B-K,U+1F1ED U+1F1F0,Hong Kong
B-L,U+1F1ED U+1F1F0,Hong Kong
F-OG,U+1F1EB U+1F1F7 ,French West Indies 
9Q-,U+1F1E8 U+1F1E9,"Congo, Democratic Republic of "
YA-,U+1F1E6 U+1F1EB ,Afghanistan 
ZA-,U+1F1E6 U+1F1F1 ,Albania 
D2-,U+1F1E6 U+1F1F4 ,Angola 
EK-,U+1F1E6 U+1F1F2 ,Armenia 
V3-,U+1F1E7 U+1F1FF ,Belize 
XT-,U+1F1E7 U+1F1EB ,Burkina Faso 
TT-,U+1F1F9 U+1F1E9 ,Chad 
9U-,U+1F1E7 U+1F1EE ,Burundi 
CP-,U+1F1E7 U+1F1F4,Bolivia 
D4-,U+1F1E8 U+1F1FB,Cape Verde 
TL-,U+1F1E8 U+1F1EB ,Central African Republic 
TY-,U+1F1E7 U+1F1EF ,Benin 
A5-,U+1F1E7 U+1F1F9 ,Bhutan 
