category	creator	description	shape_designator	shape_scale	version
A3	RexKramer1	Large (75 000 to 300 000 lbs.)	Cat_A3	0.5	2.0
B2	RexKramer1	Lighter-than-Air	Cat_B2	0.35	2.0
A2	RexKramer1	Small (15 500 to 75 000 lbs.)	Cat_A2	0.5	2.0
B1	RexKramer1	Glider/sailplane	Cat_B1	0.7	2.0
A5	RexKramer1	Heavy (> 300 000 lbs.)	Cat_A5	0.5	2.0
A7	RexKramer1	Rotorcraft	Cat_A7	0.9	2.0
A6	RexKramer1	High Performance ( > 5 g acceleration and > 400kts)	Cat_A6	0.7	2.0
B7	RexKramer1	Space/Trans-atmospheric vehicle	ISS	0.25	2.0
B6	RexKramer1	Unmanned Aerial Vehicle	Cat_B6	0.5	2.0
A4	RexKramer1	High Vortex Large(aircraft such as B-757)	Cat_A4	0.5	2.0
B3	RexKramer1	Parachutist/Skydiver	Cat_B3	0.35	2.0
A0	RexKramer1	Unspecified Aircraft	unidentified	1	2.0
A1	RexKramer1	Light (< 15 500 lbs.)	Cat_A1	0.7	2.0
B4	RexKramer1	Ultralight/hang-glider/paraglider	Cat_B4	0.7	2.0
C1	RexKramer1	Surface Vehicle - Emergency Vehicle	ground_emergency	0.1	2.0
C2	RexKramer1	Surface Vehicle - Service Vehicle	ground_service	1.3	2.0
C3	RexKramer1	Fixed Ground or Tethered Obstruction	ground_tower	0.2	2.0
