operator_name	operator_icao	operator_iata
Airbridge Cargo Airlines	ABW	RU
Transaero	TSO	UN
Nordstar Airlines	TYA	Y7
Utair Aviation	UTA	UT
Atran	VAS	V8
Volga Dnepr	VDA	VI
Dhl Air Limited	DHK	D0
Emerald Airlines  Limited	EAG	NZ
British Midland Regional	BMR	BM
Spectrum Aviation	SPJ	M3
Tui Airways Limited	TOM	BY
Amaszonas Uruguay	AUZ	AO
Aerovias Del Continente Americano	AVA	AV
Balmoral Central Contracts	BAL	L9
China West Air	CHB	PN
Bismillah Airlines	BML	5Z
Asl Airlines UK	ABV	O4
AF Aviation	AFF	VJ
Airfreight Express Limited	AFX	5Z
British Airways	BAW	BA
Flybe Limited	BEE	BE
European Air Charter	BUC	1T
Berjaya Air Sdn Bhd	BVT	J8
Caribbean Airlines Limited	BWA	BW
Air China	CCA	CA
Jet2 Com	EXS	LS
Eastern Airways  Limited	EZE	T3
Easyjet Uk	EZY	U2
Cayman Airways	CAY	KX
Ba Cityflyer	CFE	CJ
Cargologicair	CLU	P3
British International	BIH	BS
Airbus Transport International	BGA	4Y
Bh Air	BGH	8H
Buddha Air	BHA	U4
Bellair	BHP	4T
Bahamas Air Holdings	BHS	UP
Air Arabia	ABY	G9
Air Canada	ACA	AC
Srilankan Airlines	ALK	UL
Royal Air Force	RFR	RR
Redhill Aviation	RHC	8L
Lan Colombia Airlines	ARE	4C
Aerolineas Argentinas	ARG	AR
Wizz Air Uk	WUK	W9
Aurigny Air Services	AUR	GR
Titan Airways	AWC	ZT
Amadeus Global Travel Distribution	AGT	1A
Air Glaciers	AGV	7T
Norse Atlantic Uk	UBT	Z0
Virgin Atlantic	VIR	VS
Calima De Aviacion	CMV	3C
Baa Aviation Limited	CCI	PT
Air Corsica	CCM	XK
Air Kiribati Limited	AKL	4A
Compania Operadora De Corto Y Medio Radio Iberia Express	IBS	I2
Hongtu Als	HTU	A6
Hang Khong Viet Nam	HVN	VN
Sky Bus	HVY	HN
China Express Airlines	HXA	G5
Inaer Aviones Anfibios	IAA	IO
Ibex Air Charter	IAC	IC
Iraqi Airways	IAW	IA
Binter Canarias	IBB	NT
Iberia Lineas Aereas De Espana	IBE	IB
Caspian Airlines	CPN	RV
Si Chuan Airlines	CSC	3U
Norwegian Air International	IBK	D8
Ibl Aviation	IBL	0C
Euroatlantic Airways	MMZ	MM
Mng Havayollari Ve Tasimacilik	MNB	MB
Menajet	MNJ	IM
Tulca	MNO	JE
Bradley Air Services Limited	AKT	V2
Ana Wings	AKX	EH
Intercontinental De Aviacion	ICT	RS
Skytaxi	IGA	TE
Interglobe Aviation Private	IGO	6E
Itek Air	IKA	GI
Shanghai Airlines	CSH	FM
China Southern Airlines	CSN	CZ
Czech Airlines	CSA	OK
Fika Salaama Airlines	HGK	N8
Inter Air Lines   South Africa	ILN	D6
Batik Air	MXD	OD
Zimex Aviation	IMX	C4
Alpi Jets GmbH	ALX	EO
DRF Luftrettung	AMB	1I
Air Malta	AMC	KM
Hahn Airlines GmbH Dreieich	HHN	HR
Himalaya Airlines	HIM	H9
Can West Corporate Air Charters	CWA	W2
Air Malawi	AML	QM
Intersky	ISK	3L
Israir	ISR	6H
Interlink Airlines	ITK	ID
Iran National Airlines Corp	IRA	IR
Iran Aseman Airline	IRC	EP
Italia Trasporto Aereo	ITY	AZ
North East West South Airlines	NES	JH
North Flying	NFA	M3
Air Macau	AMU	NX
Aerovias De Mexico	AMX	AM
All Nippon Airways	ANA	NH
Air Nostrum Lineas Aereas Del Mediterraneo	ANE	YW
Air Niugini	ANG	PX
Air Marshall Islands	CWM	CW
Xiamen Airlines	CXA	MF
Corendon Airlines Europe	CXI	8C
Coptrade Air Transport	CCW	CQ
Tianjin Jeppesen International Flight College	CHF	X7
Hainan Airlines Holding	CHH	HU
Iberworld Airlines	IWD	TY
Yemenia Yemen Airways	IYE	IY
Ihy Izmir Havayollari	IZM	H9
Air Bagan Limited	JAB	W9
Jetsmart Airlines Peru Sac	JAP	JZ
Helijet International	JBA	JB
Kelowna Flightcraft Air Charter	KFA	KW
Aero Nomad Airlines	ANK	EL
Capiteq Limited	ANO	TL
Andes Lineas Aereas	ANS	OY
Cyprus Airways	CYP	CY
China Postal Airlines	CYZ	8Y
Air North Charter	ANT	4N
Dhl De Guatemala	JOS	L3
Jubba Airways	JUB	3J
Kuwait Airways Corporation	KAC	KU
Aircompany Ikar	KAR	IK
Air New Zealand	ANZ	NZ
Air Algerie	DAH	AH
Aeropostal Alas De Venezuela	ALV	VH
Orient Thai Airlines	OEA	OX
Kc International Airlines	KCH	3Q
Cemair	KEM	5Z
Keewatin Air	KEW	FK
Cambodia Angkor Air	KHV	K6
Klm Royal Dutch Airlines	KLM	KL
Cambodia Airways	KME	KR
Kam Air	KMF	RQ
Euromanx	EMX	3W
El Al Israel Airlines	ELY	LY
Kalingrad KD Avia	KNI	KD
Aeroservicios Carabobo	OCA	R7
Skywest	OZW	VA
Philippine Air Lines	PAL	PR
Polynesian Airline Operations	PAO	PH
Carpatair	KRP	V3
East African Safari Air Limited	HSA	S9
Dhl Aviation Eemea	DHX	ES
Aerro Direkt	DIR	AW
Air Dolomiti	DLA	EN
Donavia	DNV	D9
Kthy Cyprus Airlines	KYV	YK
Proflight Air Services Limited	PFZ	P0
Portugalia Companhia Portuguesa De Transportes Aereos	PGA	NI
Titanfly International	AOC	J6
Aviationers Pakistan	APD	1Z
Pegasus Hava Tasimaciligi	PGT	PC
Cimber	CIM	QI
Saffron Aviation	CIN	C7
Canada Jetlines Operations	CJL	AU
Coyne Aviation Limited	COY	7C
Khalifa Airways	KZW	K6
Libyan Airlines	LAA	LN
Skyla Air	LAJ	KJ
Linhas Aereas De Mocambique	LAM	TM
Linea Aerea Nacional De Chile	LAN	LA
Lao Airlines	LAO	QV
Transportes Aereos Del Mercosur	LAP	PZ
Lebanese Air Transport	LAQ	LQ
Alba Star	LAV	AP
Lan Cargo	LCO	UC
Lauda Europe	LDA	NG
Lauda Motion GmbH	LDM	OE
Aruba Airlines	ARU	AG
Deutsche Lufthansa AG Koeln	DLH	LH
Lan Argentina	DSM	4M
Palestinian Airlines	PNW	PF
Porter Airlines	POE	PD
Luxair Societe Luxembourgeoise De Navigation Aerienne	LGL	LG
Leeward Islands Air Transport	LIA	LI
Alidaunia	LID	D4
Pt Nam Air	LKN	IK
Dairo Air Services	DSR	WD
Taag Linhas Aereas De Angola	DTA	DT
