type_designator	creator	description	shape_designator	shape_scale	version
A10	RexKramer1	Fairchild-Republic A-10 Thunderbolt	A10	0.7	2023-07-27 00:00:00
A124	RexKramer1	A124 (Antonov An-124)	A124	0.5	2023-07-27 00:00:00
A139	RexKramer1	Agusta AW-139	S61	0.75	2023-07-27 00:00:00
A189	RexKramer1	Agusta AW-189	S61	0.8	2023-07-27 00:00:00
A337	RexKramer1	Airbus A330-700 Beluga XL	A337	0.5	2023-07-27 00:00:00
A3ST	RexKramer1	Airbus A300ST Beluga	A3ST	0.5	2023-07-27 00:00:00
A6	RexKramer1	Grumman A-6 Intruder	EUFI	0.9	2023-07-27 00:00:00
AT3	RexKramer1	AIDC AT-3 Tzu-Chung	EUFI	0.9	2023-07-27 00:00:00
ATP	RexKramer1	British Aaerospace ATP / Jetstream 61	ATP	0.5	2023-07-27 00:00:00
B463	RexKramer1	BAe-146-300	RJ85	0.5	2023-07-27 00:00:00
B52	RexKramer1	Boeing B-52 Stratofortress	B52	0.5	2023-07-27 00:00:00
B721	RexKramer1	Boeing 727-100	JET_swept	0.5	2023-07-27 00:00:00
B722	RexKramer1	Boeing 727-200	B722	0.5	2023-07-27 00:00:00
B743	RexKramer1	Boeing 747-300	B742	0.5	2023-07-27 00:00:00
B74R	RexKramer1	Boeing 747-SR	B742	0.5	2023-07-27 00:00:00
D140	RexKramer1	Jodel D.140 Mousquetaire	PA28	0.7	2023-07-27 00:00:00
DA20	RexKramer1	Diamond DV-20 Katana (invalid ICAO-Type)	SR22	0.7	2023-07-27 00:00:00
DC3	RexKramer1	Douglas DC-3	DC3	0.5	2023-07-27 00:00:00
DC87	RexKramer1	Douglas DC-8-70	DC87	0.5	2023-07-27 00:00:00
DC91	RexKramer1	Douglas DC-9-10	JET_swept	0.5	2023-07-27 00:00:00
DC92	RexKramer1	Douglas DC-9-20	JET_swept	0.5	2023-07-27 00:00:00
DC93	RexKramer1	Douglas DC-9-30	JET_swept	0.5	2023-07-27 00:00:00
DC94	RexKramer1	Douglas DC-9-40	JET_swept	0.5	2023-07-27 00:00:00
DC95	RexKramer1	Douglas DC-9-50	JET_swept	0.5	2023-07-27 00:00:00
DG80	RexKramer1	Glaser-Dirks DG-800	AS21	0.7	2023-07-27 00:00:00
E3TF	RexKramer1	Boeing E-3 (TF33) - invalid ICAO Type designator	E3TF	0.5	2023-07-27 00:00:00
E55P	RexKramer1	EMB-505 Phenom 300	JET_nonswept	0.65	2023-07-27 00:00:00
EC45	RexKramer1	Airbus Helicopters H-145	EC45	0.9	2023-07-27 00:00:00
EC55	RexKramer1	Airbus Helicopters H-155	AS65	0.8	2023-07-27 00:00:00
EC75	RexKramer1	Airbus Helicopters H-175	S61	0.8	2023-07-27 00:00:00
F111	RexKramer1	invalid icao type designator	EUFI	0.9	2023-07-27 00:00:00
F14	RexKramer1	F-14 Tomcat	EUFI	0.9	2023-07-27 00:00:00
F22	unknown	F-22 Raptor	F22	0.7	2023-07-27 00:00:00
F22A	unknown	invalid icao type designator	F22	0.7	2023-07-27 00:00:00
F4	RexKramer1	F-4 Phantom 2	EUFI	0.9	2023-07-27 00:00:00
K35R	RexKramer1	Boeing KC-135 Stratotanker CFM Engines	K35E	0.5	2023-07-27 00:00:00
C17	RexKramer1	Boeing C-17 Globemaster 3	C17	0.5	2023-07-27 00:00:00
C25B	RexKramer1	Cessna Citation CJ3	C25B	0.65	2023-07-27 00:00:00
C25C	RexKramer1	Cessna Citation CJ4	C25B	0.65	2023-07-27 00:00:00
C30J	RexKramer1	Lockheed C-130J Super Hercules	C130	0.5	2023-07-27 00:00:00
C510	RexKramer1	Cessna 510 Citation Mustang	JET_nonswept	0.5	2023-07-27 00:00:00
C550	RexKramer1	Cessna 550 Citation 2	JET_nonswept	0.5	2023-07-27 00:00:00
C650	RexKramer1	Cessna 650 Citation 3/5/7	JET_nonswept	0.65	2023-07-27 00:00:00
CL30	RexKramer1	Bombardier Challenger 300	JET_swept	0.35	2023-07-27 00:00:00
CL60	RexKramer1	Bombardier Challenger 600	JET_swept	0.35	2023-07-27 00:00:00
CRJ7	RexKramer1	Canadair Regional Jet RJ-700	CRJ7	0.5	2023-07-27 00:00:00
CRJX	RexKramer1	Canadair Regional Jet RJ-1000	CRJX	0.5	2023-07-27 00:00:00
GA6C	RexKramer1	Gulfstream G600	JET_swept	0.4	2023-07-27 00:00:00
GLF3	RexKramer1	Gulfstream 3	JET_swept	0.4	2023-07-27 00:00:00
GLF4	RexKramer1	Gulfstream 4	JET_swept	0.4	2023-07-27 00:00:00
GLF5	RexKramer1	Gulfstream 5	JET_swept	0.4	2023-07-27 00:00:00
GLF6	RexKramer1	Gulfstream G-650	GLF6	0.5	2023-07-27 00:00:00
H25A	RexKramer1	Hawker Siddeley HS-125	JET_nonswept	0.65	2023-07-27 00:00:00
H25B	RexKramer1	Hawker 700/750/800/850/900	JET_nonswept	0.65	2023-07-27 00:00:00
H25C	RexKramer1	Hawker 1000	JET_nonswept	0.65	2023-07-27 00:00:00
IL76	RexKramer1	Ilyushin IL-76	IL76	0.5	2023-07-27 00:00:00
J8A	RexKramer1	Shenyang J-8A	EUFI	0.9	2023-07-27 00:00:00
J8B	RexKramer1	Shenyang J-8B	EUFI	0.9	2023-07-27 00:00:00
JH7	RexKramer1	Xian JH-7	EUFI	0.9	2023-07-27 00:00:00
LJ40	RexKramer1	Lear Jet 40	JET_nonswept	0.65	2023-07-27 00:00:00
LJ45	RexKramer1	Lear Jet 45	LJ35	0.7	2023-07-27 00:00:00
LJ55	RexKramer1	Lear Jet 55	JET_nonswept	0.65	2023-07-27 00:00:00
LJ60	RexKramer1	Lear Jet 60	JET_nonswept	0.65	2023-07-27 00:00:00
LJ70	RexKramer1	Lear Jet 70	JET_nonswept	0.65	2023-07-27 00:00:00
LJ75	RexKramer1	Lear Jet 75	JET_nonswept	0.65	2023-07-27 00:00:00
LJ85	RexKramer1	invalid ICAO Type designator	JET_nonswept	0.65	2023-07-27 00:00:00
MD83	RexKramer1	McDonnell Douglas MD-83	JET_swept	0.55	2023-07-27 00:00:00
MD87	RexKramer1	McDonnell Douglas MD-87	JET_swept	0.55	2023-07-27 00:00:00
MD88	RexKramer1	McDonnell Douglas MD-88	JET_swept	0.6	2023-07-27 00:00:00
MD90	RexKramer1	McDonnell Douglas MD-90	B712	0.5	2023-07-27 00:00:00
MI24	RexKramer1	MIL Mi-24	MI24	0.8	2023-07-27 00:00:00
Q25	RexKramer1	Boeing MQ-25 Stingray	Q4	0.5	2023-07-27 00:00:00
Q4	RexKramer1	Northrop Grumman Global Hawk	Q4	0.5	2023-07-27 00:00:00
Q9	RexKramer1	General Atmics MQ-9 Reaper	Q4	0.5	2023-07-27 00:00:00
SU25	RexKramer1	Sukhoi SU-25	EUFI	0.9	2023-07-27 00:00:00
SU27	RexKramer1	Sukhoi SU-27	EUFI	0.9	2023-07-27 00:00:00
U2	RexKramer1	Lockheed U-2	U2	0.5	2023-07-27 00:00:00
UH1	RexKramer1	Bell UH-1	UH1	0.9	2023-07-27 00:00:00
ULAC	RexKramer1	invalid icao type designator	C172	0.5	2023-07-27 00:00:00
V22	RexKramer1	Bell-Boeing V-22 Osprey	V22_slow	0.7	2023-07-27 00:00:00
VAUT	RexKramer1	Sud  SO-4050 Vautour	EUFI	0.9	2023-07-27 00:00:00
S12	RexKramer1	Rans S-12 Super Airaile	AS21	0.7	2023-07-27 00:00:00
V22F	RexKramer1	Bell-Boeing V-22 Osprey	V22_fast	0.7	2023-07-27 00:00:00
A148	RexKramer1	Antonov A-148	JET_medium	0.42	2023-07-27 00:00:00
R66	RexKramer1	Robinson R-66	R44	0.9	2023-07-27 00:00:00
T206	RexKramer1	Cessna T206 Turbo	C172	0.75	2023-07-27 00:00:00
A342	RexKramer1	Airbus A340-200	A342	0.5	2023-07-27 00:00:00
A343	RexKramer1	Airbus A340-300	A343	0.5	2023-07-27 00:00:00
A345	RexKramer1	Airbus A340-500	A345	0.5	2023-07-27 00:00:00
A306	RexKramer1	Airbus A300-600	A306	0.5	2023-07-27 00:00:00
A30B	RexKramer1	Airbus A300	A306	0.48	2023-07-27 00:00:00
A310	RexKramer1	Airbus A310	A310	0.5	2023-07-27 00:00:00
A346	RexKramer1	Airbus A340-600	A346	0.5	2023-07-27 00:00:00
A359	RexKramer1	Airbus A350-900	A359	0.5	2023-07-27 00:00:00
DHC2	RexKramer1	DHC-2 Beaver	DO27	0.8	2023-07-27 00:00:00
DHC7	RexKramer1	DHC-7	AN12	0.35	2023-07-27 00:00:00
A35K	RexKramer1	Airbus A350-1000	A35K	0.5	2023-07-27 00:00:00
AN26	RexKramer1	Antonov AN-26	AN26	0.5	2023-07-27 00:00:00
A19N	RexKramer1	Airbus A319neo	A19N	0.5	2023-07-27 00:00:00
A20N	RexKramer1	Airbus A320neo	A20N	0.5	2023-07-27 00:00:00
A21N	RexKramer1	Airbus A321neo	A21N	0.5	2023-07-27 00:00:00
DHC6	RexKramer1	DHC-6 Twin Otter	DO28	0.6	2023-07-27 00:00:00
DHC3	RexKramer1	DHC-3 Otter	DO27	0.7	2023-07-27 00:00:00
VTOR	RexKramer1	PARTENAVIA AP-68TP-600 Viator	F406	0.65	2023-07-27 00:00:00
A318	RexKramer1	Airbus A318	A318	0.5	2023-07-27 00:00:00
B701	RexKramer1	Boeing 707-100	B703	0.47	2023-07-27 00:00:00
A319	RexKramer1	Airbus A319	A19N	0.5	2023-07-27 00:00:00
K35E	RexKramer1	Boeing KC-135 Stratotanker CFM Engines	K35E	0.5	2023-07-27 00:00:00
B703	RexKramer1	Boeing 707-300	B703	0.5	2023-07-27 00:00:00
B744	RexKramer1	Boeing 747-400	B744	0.5	2023-07-27 00:00:00
B748	RexKramer1	Boeing 747-800	B748	0.5	2023-07-27 00:00:00
B74S	RexKramer1	Boeing 747-SP	B74S	0.5	2023-07-27 00:00:00
E390	RexKramer1	Embraer C-390	E390	0.5	2023-07-27 00:00:00
P1	RexKramer1	Kawasaki P-1	P1	0.5	2023-07-27 00:00:00
A320	RexKramer1	Airbus A320	A320	0.5	2023-07-27 00:00:00
A321	RexKramer1	Airbus A321	A321	0.5	2023-07-27 00:00:00
A332	RexKramer1	Airbus A330-200	A332	0.5	2023-07-27 00:00:00
A333	RexKramer1	Airbus A330-300	A333	0.5	2023-07-27 00:00:00
A338	RexKramer1	Airbus A330-800	A338	0.5	2023-07-27 00:00:00
A339	RexKramer1	Airbus A330-900	A339	0.5	2023-07-27 00:00:00
B190	RexKramer1	Beech 1900	B190	0.65	2023-07-27 00:00:00
B29	RexKramer1	Boeing B-29 Superfortress	B29	0.5	2023-07-27 00:00:00
B350	RexKramer1	Beech Super King Air 350	B350	0.65	2023-07-27 00:00:00
B37M	RexKramer1	Boeing 737 Max 7	JET_medium	0.39	2023-07-27 00:00:00
B38M	RexKramer1	Boeing 737 Max 8	B38M	0.5	2023-07-27 00:00:00
B39M	RexKramer1	Boeing 737 Max 9	B39M	0.5	2023-07-27 00:00:00
B3XM	RexKramer1	Boeing 737 Max 10	JET_medium	0.52	2023-07-27 00:00:00
B731	RexKramer1	Boeing 737-100 (invalid ICAO code)	JET_medium	0.39	2023-07-27 00:00:00
B732	RexKramer1	Boeing 737-200	JET_medium	0.42	2023-07-27 00:00:00
B733	RexKramer1	Boeing 737-300	B733	0.5	2023-07-27 00:00:00
B734	RexKramer1	Boeing 737-400	B734	0.5	2023-07-27 00:00:00
B735	RexKramer1	Boeing 737-500	B735	0.5	2023-07-27 00:00:00
B736	RexKramer1	Boeing 737-600	JET_medium	0.39	2023-07-27 00:00:00
B737	RexKramer1	Boeing 737-700	B737	0.5	2023-07-27 00:00:00
B738	RexKramer1	Boeing 737-800	B738	0.5	2023-07-27 00:00:00
B739	RexKramer1	Boeing 737-900	B739	0.5	2023-07-27 00:00:00
B752	RexKramer1	Boeing 757-200	B752	0.5	2023-07-27 00:00:00
B753	RexKramer1	Boeing 757-300	B753	0.5	2023-07-27 00:00:00
B762	RexKramer1	Boeing 767-200	B762	0.5	2023-07-27 00:00:00
B763	RexKramer1	Boeing 767-300	B763	0.5	2023-07-27 00:00:00
B764	RexKramer1	Boeing 767-400	B764	0.5	2023-07-27 00:00:00
B772	RexKramer1	Boeing 777-200	B772	0.5	2023-07-27 00:00:00
B773	RexKramer1	Boeing 777-300	B773	0.5	2023-07-27 00:00:00
