typecode	aircraft_description	is_military	is_historic	is_government	is_special	is_interesting
A002	IRKUT A-002					
A109	AGUSTA AW-109 Grand					
A119	AGUSTA AW-119 Koala					
A122	AEROTEC A-122 Uirapuru					
A129	AGUSTA AW-129 Mangusta					
A139	AGUSTA AW-139					
A140	HESA 140 Faraz					
A148	ANTONOV An-148					
A149	AGUSTA AW-149					
A158	ANTONOV An-158					
A16	AVIADESIGN A-16 Sport Falcon					
A169	AGUSTA AW-169					
A178	ANTONOV An-178					
A189	AGUSTA AW-189					
A19	AEROPRACT A-19					
A19N	AIRBUS A-319neo					
A20	DOUGLAS A-20 Havoc					
A205	OSKBES-MAI 205					
A20J	SCHLEICHER ASW-20J					
A20N	AIRBUS A-320neo					
A21	AEROPRACT A-21 Solo					
A210	AQUILA A-210					
A211	ALFA-M A-211					
A21N	AIRBUS A-321neo					
A22	SADLER A-22 Piranha					
A223	OSKBES-MAI 223 Kityonok					
A23	AEROPRACT A-23 Dragon					
A25	AEROPRACT A-25 Breeze					
A251	AVIATIK-ALYANS Aleks-251					
A27	AEROPRACT A-27					
A270	AERO Ae-270 Propjet					
A29	AVANTAGE A-29					
A2RT	KAZAN Ansat 2RT					
A306	AIRBUS A-300-600					
A30B	AIRBUS A-300-200					
A31	AVANTAGE A-31 Spectrum					
A310	AIRBUS A-310					
A318	AIRBUS A-318					
A319	AIRBUS A-319					
A320	AIRBUS A-320					
A321	AIRBUS A-321					
A32E	SCHLEICHER ASG-32EL					
A32P	SCHLEICHER ASG-32Mi					
A33	AEROPRACT A-33					
A332	AIRBUS A-330-200					
A333	AIRBUS A-330-300					
A337	AIRBUS A-330-700 Beluga XL					
A338	AIRBUS A-330-800					
A339	AIRBUS A-330-900					
A33E	SCHLEICHER AS-33Me					
A33P	SCHLEICHER AS-33Es					
A342	AIRBUS A-340-200					
A343	AIRBUS A-340-300					
A345	AIRBUS A-340-500					
A346	AIRBUS A-340-600					
A34E	SCHLEICHER AS-34Me					
A35	AVANTAGE A-35 Scanner					
A359	AIRBUS A-350-900					
A35K	AIRBUS A-350-1000					
A37	Cessna 318 Dragonfly					
A388	AIRBUS A-380-800					
A3ST	AIRBUS A-300ST Beluga Super Transporter					
A411	OSKBES-MAI 411					
A5	ICON A-5					
A50	ILYUSHIN A-50					
A500	ADAM A-500 CarbonAero					
A504	AVRO 504 Replica					
A600	ROTORWAY A-600 Talon					
A660	THRUSH S-2R Turbo 660					
A700	ADAM A-700 AdamJet					
A743	ANTONOV An-74-300					
A748	AVRO 748					
A890	OSKBES-MAI 890					
A9	NORTH AMERICAN ROCKWELL A-9 Sparrow Commander					
A900	OSKBES-MAI 900 Acrobat					
A910	OSKBES-MAI 960 Interfly					
AA1	AMERICAN AA-1					
AA37	AEROPRACT A-37					
AA5	AMERICAN AA-5 Tiger					
AAT3	AERO AT-3					
AAT4	AERO AT-4					
AB11	AERO BOERO AB-115					
AB15	AERO BOERO AB-150					
AB18	AERO BOERO AB-180					
AB95	AERO BOERO AB-95					
AC10	FD-COMPOSITES ArrowCopter					
AC11	NORTH AMERICAN ROCKWELL Commander 112/114					
AC31	AVIOCOPTER AC-311					
AC33	AVIOCOPTER AC-313					
AC4	LIGHT WING AC-4					
AC50	NORTH AMERICAN ROCKWELL Commander 500					
AC52	AERO Commander 520					
AC56	AERO Commander 560					
AC5A	NANJING AC-500 Aircar					
AC5M	AVIASTROITEL AC-5M					
AC68	AERO Commander 680					
AC6L	AERO Commander 685					
AC72	AERO Commander 720					
AC80	NORTH AMERICAN ROCKWELL Turbo Commander 680					
AC90	NORTH AMERICAN ROCKWELL Turbo Commander 690/840					
AC95	NORTH AMERICAN ROCKWELL Jetprop Commander 1000					
ACAM	LEZA Air Cam					
ACAR	AUSTER J-5 Autocar					
ACED	POWELL P-70 Acey Deucy					
ACJR	SPENCER Air Car Junior					
ACPL	OPTION AIR Acapella					
ACR2	ACRO SPORT 2					
ACRD	AVIA Accord					
ACRO	ACRO SPORT 1					
ACSR	VICTA Aircruiser					
AD20	BEIJING KEYUAN AD-200					
ADEL	USTINOV Adel					
ADVE	AUSTER J-5 Adventurer					
ADVN	ADVENTURE AIR Adventurer					
AE45	AERO Super Aero 145					
AEA1	AMERICAN EAGLE A-101					
AERK	AERONCA Sea Scout					
AEST	AEROSTAR 600					
AFOX	HALLEY Apollo Fox					
AG02	GATARD AG-02 Poussin					
AG04	GATARD AG-04 Pigeon					
AG1	Apollo AG-1 Gyro					
AG10	CAIGA AG-100					
AG14	ANDERSON-GREENWOOD AG-14					
AG60	CAIGA AG-600 Kunlong					
AGSH	AERO GARE Sea Hawker					
AI10	IKAR AI-10					
AIGT	AUSTER J-5 Aiglet Trainer					
AIRD	BEAGLE A-109 Airedale					
AIRL	AERONIX Airelle					
AJ27	COMAC ARJ-21-700 Xiangfeng					
AK1	AKAFLIEG AK-1					
AKOY	LISA Akoya					
AKRO	STEPHENS Akro					
ALBU	AVIATION DEVELOPMENT Alaskan Bushmaster					
ALC1	ALTAIR COELHO AC-11					
ALGR	FANTASY AIR Allegro					
A3	DOUGLAS A-3 Skywarrior	Y				
A4	DOUGLAS A-4 Skyhawk	Y				
A400	AIRBUS A-400M	Y				
A6	GRUMMAN A-6 Prowler	Y				
AJET	DASSAULT-DORNIER Alpha Jet	Y				
ALH	HINDUSTAN Dhruv					
ALIG	ARION LS-1 Lightning					
ALIZ	BREGUET 1050 Alize					
ALO2	SUD Alouette 2					
ALO3	AEROSPATIALE Alouette 3					
ALPI	AUSTER J-5R Alpine					
ALSL	AIRLONY Skylane					
ALTO	DIRECT FLY Alto					
AM3	AERITALIA-AERMACCHI AM-3 Bosbok					
AMX	AERITALIA-AERMACCHI AMX Ghibli					
AN24	ANTONOV An-24					
AN26	ANTONOV An-26					
AN28	ANTONOV An-28					
AN3	ANTONOV An-3					
AN30	ANTONOV An-30					
AN32	ANTONOV An-32 Sutlej					
AN38	ANTONOV An-38					
AN70	ANTONOV An-70					
AN72	ANTONOV An-74-200					
AN8	ANTONOV An-8					
ANDR	MILLIOUD Andromede					
ANGL	ANGEL 44 Angel					
ANKA	TAI Anka					
ANSN	AVRO 652 Anson					
ANST	KAZAN Ansat					
AP20	AEROPRACT A-20					
AP22	AEROPRACT A-22					
AP24	AEROPRACT A-24					
AP26	AEROPRACT A-26					
AP28	AEROPRACT A-28					
AP32	AEROPRACT A-32					
AP36	AEROPRACT A-36					
APM2	ISSOIRE APM-20 Lionceau					
APM3	ISSOIRE APM-30 Lion					
APM4	ISSOIRE APM-40 Simba					
APUP	AEROPUP					
AR1	SILVERLIGHT American Ranger 1					
AR11	AERONCA 11 Chief					
AR15	AERONCA 15 Sedan					
AR50	AERONCA 50 Chief					
AR5T	AERONCA 50 Tandem					
AR65	AERONCA 65 Super Chief					
AR6T	AERONCA 65 Tandem					
AR79	ARADO Ar-79					
ARCE	SCHEMPP-HIRTH Arcus E					
ARCP	SCHEMPP-HIRTH Arcus M					
ARES	RUTAN Ares					
ARKS	ACEAIR A-200 Aeris					
ARON	GENERAL AVIA F-220 Airone					
ARV1	ARV Super 2					
ARVA	IAI 102/202 Arava					
ARWF	ARROW Sport					
AS02	FFA AS-202 Bravo					
AS14	SCHLEICHER ASK-14					
AS16	SCHLEICHER ASK-16					
AS20	SCHLEICHER ASW-20					
AS21	SCHLEICHER ASK-21					
AS22	SCHLEICHER ASW-22					
AS24	SCHLEICHER ASW-24					
AS25	SCHLEICHER ASH-25					
AS26	SCHLEICHER ASH-26					
AS28	SCHLEICHER ASW-28					
